timestamp,intersection_id,phase_number,signal_state,duration_sec,control_mode
2026-04-20T00:24:45,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:24:49,INT-001,2,RED ON,3,fixed
2026-04-20T00:24:52,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:25:08,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:25:12,INT-001,3,RED ON,3,fixed
2026-04-20T00:25:15,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:25:29,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:25:33,INT-001,4,RED ON,3,fixed
2026-04-20T00:25:36,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:25:56,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:26:00,INT-001,1,RED ON,3,fixed
2026-04-20T00:26:03,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:26:21,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:26:25,INT-001,2,RED ON,3,fixed
2026-04-20T00:26:28,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:26:44,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:26:48,INT-001,3,RED ON,3,fixed
2026-04-20T00:26:51,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:27:05,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:27:09,INT-001,4,RED ON,3,fixed
2026-04-20T00:27:12,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:27:32,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:27:36,INT-001,1,RED ON,3,fixed
2026-04-20T00:27:39,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:27:57,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:28:01,INT-001,2,RED ON,3,fixed
2026-04-20T00:28:04,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:28:20,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:28:24,INT-001,3,RED ON,3,fixed
2026-04-20T00:28:27,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:28:41,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:28:45,INT-001,4,RED ON,3,fixed
2026-04-20T00:28:48,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:29:08,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:29:12,INT-001,1,RED ON,3,fixed
2026-04-20T00:29:15,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:29:33,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:29:37,INT-001,2,RED ON,3,fixed
2026-04-20T00:29:40,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:29:56,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:30:00,INT-001,3,RED ON,3,fixed
2026-04-20T00:30:03,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:30:17,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:30:21,INT-001,4,RED ON,3,fixed
2026-04-20T00:30:24,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:30:44,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:30:48,INT-001,1,RED ON,3,fixed
2026-04-20T00:30:51,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:31:09,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:31:13,INT-001,2,RED ON,3,fixed
2026-04-20T00:31:16,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:31:32,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:31:36,INT-001,3,RED ON,3,fixed
2026-04-20T00:31:39,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:31:53,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:31:57,INT-001,4,RED ON,3,fixed
2026-04-20T00:32:00,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:32:20,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:32:24,INT-001,1,RED ON,3,fixed
2026-04-20T00:32:27,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:32:45,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:32:49,INT-001,2,RED ON,3,fixed
2026-04-20T00:32:52,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:33:08,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:33:12,INT-001,3,RED ON,3,fixed
2026-04-20T00:33:15,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:33:29,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:33:33,INT-001,4,RED ON,3,fixed
2026-04-20T00:33:36,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:33:56,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:34:00,INT-001,1,RED ON,3,fixed
2026-04-20T00:34:03,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:34:21,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:34:25,INT-001,2,RED ON,3,fixed
2026-04-20T00:34:28,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:34:44,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:34:48,INT-001,3,RED ON,3,fixed
2026-04-20T00:34:51,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:35:05,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:35:09,INT-001,4,RED ON,3,fixed
2026-04-20T00:35:12,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:35:32,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:35:36,INT-001,1,RED ON,3,fixed
2026-04-20T00:35:39,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:35:57,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:36:01,INT-001,2,RED ON,3,fixed
2026-04-20T00:36:04,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:36:20,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:36:24,INT-001,3,RED ON,3,fixed
2026-04-20T00:36:27,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:36:41,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:36:45,INT-001,4,RED ON,3,fixed
2026-04-20T00:36:48,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:37:08,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:37:12,INT-001,1,RED ON,3,fixed
2026-04-20T00:37:15,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:37:33,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:37:37,INT-001,2,RED ON,3,fixed
2026-04-20T00:37:40,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:37:56,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:38:00,INT-001,3,RED ON,3,fixed
2026-04-20T00:38:03,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:38:17,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:38:21,INT-001,4,RED ON,3,fixed
2026-04-20T00:38:24,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:38:44,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:38:48,INT-001,1,RED ON,3,fixed
2026-04-20T00:38:51,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:39:09,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:39:13,INT-001,2,RED ON,3,fixed
2026-04-20T00:39:16,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:39:32,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:39:36,INT-001,3,RED ON,3,fixed
2026-04-20T00:39:39,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:39:53,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:39:57,INT-001,4,RED ON,3,fixed
2026-04-20T00:40:00,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:40:20,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:40:24,INT-001,1,RED ON,3,fixed
2026-04-20T00:40:27,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:40:45,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:40:49,INT-001,2,RED ON,3,fixed
2026-04-20T00:40:52,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:41:08,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:41:12,INT-001,3,RED ON,3,fixed
2026-04-20T00:41:15,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:41:29,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:41:33,INT-001,4,RED ON,3,fixed
2026-04-20T00:41:36,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:41:56,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:42:00,INT-001,1,RED ON,3,fixed
2026-04-20T00:42:03,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:42:21,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:42:25,INT-001,2,RED ON,3,fixed
2026-04-20T00:42:28,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:42:44,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:42:48,INT-001,3,RED ON,3,fixed
2026-04-20T00:42:51,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:43:05,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:43:09,INT-001,4,RED ON,3,fixed
2026-04-20T00:43:12,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:43:32,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:43:36,INT-001,1,RED ON,3,fixed
2026-04-20T00:43:39,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:43:57,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:44:01,INT-001,2,RED ON,3,fixed
2026-04-20T00:44:04,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:44:20,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:44:24,INT-001,3,RED ON,3,fixed
2026-04-20T00:44:27,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:44:41,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:44:45,INT-001,4,RED ON,3,fixed
2026-04-20T00:44:48,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:45:08,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:45:12,INT-001,1,RED ON,3,fixed
2026-04-20T00:45:15,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:45:33,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:45:37,INT-001,2,RED ON,3,fixed
2026-04-20T00:45:40,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:45:56,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:46:00,INT-001,3,RED ON,3,fixed
2026-04-20T00:46:03,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:46:17,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:46:21,INT-001,4,RED ON,3,fixed
2026-04-20T00:46:24,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:46:44,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:46:48,INT-001,1,RED ON,3,fixed
2026-04-20T00:46:51,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:47:09,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:47:13,INT-001,2,RED ON,3,fixed
2026-04-20T00:47:16,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:47:32,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:47:36,INT-001,3,RED ON,3,fixed
2026-04-20T00:47:39,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:47:53,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:47:57,INT-001,4,RED ON,3,fixed
2026-04-20T00:48:00,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:48:20,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:48:24,INT-001,1,RED ON,3,fixed
2026-04-20T00:48:27,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:48:45,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:48:49,INT-001,2,RED ON,3,fixed
2026-04-20T00:48:52,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:49:08,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:49:12,INT-001,3,RED ON,3,fixed
2026-04-20T00:49:15,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:49:29,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:49:33,INT-001,4,RED ON,3,fixed
2026-04-20T00:49:36,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:49:56,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:50:00,INT-001,1,RED ON,3,fixed
2026-04-20T00:50:03,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:50:21,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:50:25,INT-001,2,RED ON,3,fixed
2026-04-20T00:50:28,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:50:44,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:50:48,INT-001,3,RED ON,3,fixed
2026-04-20T00:50:51,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:51:05,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:51:09,INT-001,4,RED ON,3,fixed
2026-04-20T00:51:12,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:51:32,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:51:36,INT-001,1,RED ON,3,fixed
2026-04-20T00:51:39,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:51:57,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:52:01,INT-001,2,RED ON,3,fixed
2026-04-20T00:52:04,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:52:20,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:52:24,INT-001,3,RED ON,3,fixed
2026-04-20T00:52:27,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:52:41,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:52:45,INT-001,4,RED ON,3,fixed
2026-04-20T00:52:48,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:53:08,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:53:12,INT-001,1,RED ON,3,fixed
2026-04-20T00:53:15,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:53:33,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:53:37,INT-001,2,RED ON,3,fixed
2026-04-20T00:53:40,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:53:56,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:54:00,INT-001,3,RED ON,3,fixed
2026-04-20T00:54:03,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:54:17,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:54:21,INT-001,4,RED ON,3,fixed
2026-04-20T00:54:24,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:54:44,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:54:48,INT-001,1,RED ON,3,fixed
2026-04-20T00:54:51,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:55:09,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:55:13,INT-001,2,RED ON,3,fixed
2026-04-20T00:55:16,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:55:32,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:55:36,INT-001,3,RED ON,3,fixed
2026-04-20T00:55:39,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:55:53,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:55:57,INT-001,4,RED ON,3,fixed
2026-04-20T00:56:00,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:56:20,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:56:24,INT-001,1,RED ON,3,fixed
2026-04-20T00:56:27,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:56:45,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:56:49,INT-001,2,RED ON,3,fixed
